timestamp	stage	record	error
2026-04-30T16:20:26+00:00	search	"""HER3"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:26+00:00	search	"""FRa"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:26+00:00	search	"""FRa"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:26+00:00	search	"""FRa"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:27+00:00	search	"""FRa"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:27+00:00	search	"""FRa"" ""antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:28+00:00	search	"""FRa"" ADC page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:28+00:00	search	"""FRa"" ADC page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:28+00:00	search	"""FRa"" ADC page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:29+00:00	search	"""FRa"" ADC page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:29+00:00	search	"""FRa"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:30+00:00	search	"""CD30"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:30+00:00	search	"""CD30"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:30+00:00	search	"""CD30"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:31+00:00	search	"""CD30"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:31+00:00	search	"""CD30"" ""antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:32+00:00	search	"""CD30"" ADC page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:32+00:00	search	"""CD30"" ADC page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:32+00:00	search	"""CD30"" ADC page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:33+00:00	search	"""CD30"" ADC page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:33+00:00	search	"""CD30"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:34+00:00	search	"""CD33"" ""antibody drug conjugate"" page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:34+00:00	search	"""CD33"" ""antibody drug conjugate"" page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:34+00:00	search	"""CD33"" ""antibody drug conjugate"" page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:35+00:00	search	"""CD33"" ""antibody drug conjugate"" page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:35+00:00	search	"""CD33"" ""antibody drug conjugate"" page=4"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:35+00:00	search	"""CD33"" ADC page=0"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:36+00:00	search	"""CD33"" ADC page=1"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:36+00:00	search	"""CD33"" ADC page=2"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:36+00:00	search	"""CD33"" ADC page=3"	<HTTPError 503: 'Service Unavailable'>
2026-04-30T16:20:37+00:00	search	"""CD33"" ADC page=4"	<HTTPError 503: 'Service Unavailable'>
